unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL
flexential-portland-hillsboro-1,centers,Flexential: Portland - Hillsboro 1 Data Center,Flexential,3935 NE Aloclek Dr,Hillsboro,97124,OR,USA,85388 sqft,138000 sqft,,5.0 MW,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-portland-hillsboro-1
coresite-ch2-chicago,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-ch2-chicago
coresite-bo1-boston,centers,CoreSite: BO1 Boston Data Center,CoreSite,70 Inner Belt Road,Somerville,,MA,USA,253000 sqft total space,253000 sqft,,,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-bo1-boston
flexential-tampa-north,centers,Flexential: Tampa - North Data Center,Flexential,8350 Parkedge Dr,Tampa,33637,FL,USA,60166 sqft,60166 sqft,,3.0 MW,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-tampa-north
tierpoint-philadelphia,centers,TierPoint: Philadelphia Data Center,TierPoint,4775 League Island Boulevard,Philadelphia,19112,PA,USA,25700 sqft total space,11500 sqft colocation space,,"3 redundant 1,500kW generators",Enterprise,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-philadelphia
tierpoint-chicago-polk,centers,TierPoint: Chicago – Polk Data Center,TierPoint,601 West Polk Street,Chicago,,IL,USA,107000 sqft total space,16000 sqft colocation space,,2.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-chicago-polk
tierpoint-boston-marlborough,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-boston-marlborough
tierpoint-raleigh-rtp,centers,TierPoint: Raleigh - RTP Data Center,TierPoint,99 TW Alexander Drive,Durham,27709,NC,USA,70000 sqft total space,34000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-raleigh-rtp
coresite-or1-orlando,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-or1-orlando
tierpoint-milwaukee,centers,TierPoint: Milwaukee Data Center,TierPoint,3701 West Burnham Street,Milwaukee,,WI,USA,26000 sqft total space,6400 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-milwaukee
flexential-nashville-cool-springs,centers,Flexential: Nashville - Cool Springs Data Center,Flexential,425 Duke Drive,Franklin,,TN,USA,74679 sqft total space,14000 sqft colocation space,,3.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-nashville-cool-springs
coresite-ch1-chicago,centers,CoreSite: CH1 Chicago Data Center,CoreSite,427 South LaSalle Street,Chicago,,IL,USA,178000 sqft total space,178000 sqft,,,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-ch1-chicago
flexential-nashville-franklin,centers,,,,,,,,,,,,,,https://www.datacenters.com/flexential-nashville-franklin
coresite-sv3-silicon-valley,centers,CoreSite: SV3 Silicon Valley Data Center,CoreSite,2901 Coronado Drive,Santa Clara,,CA,USA,50000 sqft total space,50000 sqft,,,Enterprise,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/coresite-sv3-silicon-valley
tierpoint-little-rock,centers,TierPoint: Little Rock Data Center,TierPoint,15707 Chenal Parkway,Little Rock,,AR,USA,30000 sqft total space,9000 sqft colocation space,,,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-little-rock
tierpoint-chicago-west,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-chicago-west
coresite-sv7-silicon-valley,centers,,,,,,,,,,,,,,https://www.datacenters.com/coresite-sv7-silicon-valley
tierpoint-boston-andover,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-boston-andover
tierpoint-jacksonville,centers,TierPoint: Jacksonville Data Center,TierPoint,8324 Baymeadows Way,Jacksonville,,FL,USA,120000 sqft total space,17200 sqft colocation space,,9.0 MW total power,,"EU-US, HIPAA, HITRUST CSF, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2, SOC 2 Type 2",https://www.datacenters.com/tierpoint-jacksonville
tierpoint-sioux-falls-west,centers,,,,,,,,,,,,,,https://www.datacenters.com/tierpoint-sioux-falls-west
